mode,frame,raw_detections,kept_detections,latency_ms
CUDA,0,88,34,539.2598
CUDA,1,88,34,34.1034
CUDA,2,88,34,33.2124
CUDA,3,88,34,33.6286
CUDA,4,88,34,33.2021
CUDA,5,88,34,32.7801
CUDA,6,88,34,32.8654
CUDA,7,88,34,33.2104
CUDA,8,88,34,30.2370
CUDA,9,88,34,26.9159
CUDA,10,88,34,26.8999
CUDA,11,88,34,26.7134
CUDA,12,88,34,26.8962
CUDA,13,88,34,26.4741
CUDA,14,88,34,27.0357
CUDA,15,88,34,27.1779
CUDA,16,88,34,26.7532
CUDA,17,88,34,28.0652
CUDA,18,88,34,27.4324
CUDA,19,88,34,26.9595
CUDA,20,88,34,26.5396
CUDA,21,88,34,27.2234
CUDA,22,88,34,26.5316
CUDA,23,88,34,26.6803
CUDA,24,88,34,26.5485
CUDA,25,88,34,26.8436
CUDA,26,88,34,26.5953
CUDA,27,88,34,27.1434
CUDA,28,88,34,27.3444
CUDA,29,88,34,27.1455
CUDA,30,88,34,26.5038
CUDA,31,88,34,26.6381
CUDA,32,88,34,27.3031
CUDA,33,88,34,26.8490
CUDA,34,88,34,27.0394
CUDA,35,88,34,26.7714
CUDA,36,88,34,26.4607
CUDA,37,88,34,26.5875
CUDA,38,88,34,26.8385
CUDA,39,88,34,27.0769
CUDA,40,88,34,26.6896
CUDA,41,88,34,26.7027
CUDA,42,88,34,26.5089
CUDA,43,88,34,26.5509
CUDA,44,88,34,26.6799
CUDA,45,88,34,26.6043
CUDA,46,88,34,26.6798
CUDA,47,88,34,27.5885
CUDA,48,88,34,26.7852
CUDA,49,88,34,26.5520
CUDA,50,88,34,27.4755
CUDA,51,88,34,27.1763
CUDA,52,88,34,27.0148
CUDA,53,88,34,27.5116
CUDA,54,88,34,26.6943
CUDA,55,88,34,27.1277
CUDA,56,88,34,26.4649
CUDA,57,88,34,26.6255
CUDA,58,88,34,28.2581
CUDA,59,88,34,26.6200
CUDA,60,88,34,26.6385
CUDA,61,88,34,27.4118
CUDA,62,88,34,26.6449
CUDA,63,88,34,26.8044
CUDA,64,88,34,28.2110
CUDA,65,88,34,26.8142
CUDA,66,88,34,26.6424
CUDA,67,88,34,26.7133
CUDA,68,88,34,26.6737
CUDA,69,88,34,27.2639
CUDA,70,88,34,26.6711
CUDA,71,88,34,26.6076
CUDA,72,88,34,26.8877
CUDA,73,88,34,26.8721
CUDA,74,88,34,26.5613
CUDA,75,88,34,26.4394
CUDA,76,88,34,27.0705
CUDA,77,88,34,26.5562
CUDA,78,88,34,26.3663
CUDA,79,88,34,29.5582
CUDA,80,88,34,26.5483
CUDA,81,88,34,26.6313
CUDA,82,88,34,26.7502
CUDA,83,88,34,26.7818
CUDA,84,88,34,27.1959
CUDA,85,88,34,26.6433
CUDA,86,88,34,27.4420
CUDA,87,88,34,26.9473
CUDA,88,88,34,26.5565
CUDA,89,88,34,26.6773
CUDA,90,88,34,27.7521
CUDA,91,88,34,27.0615
CUDA,92,88,34,26.4863
CUDA,93,88,34,26.5208
CUDA,94,88,34,27.0331
CUDA,95,88,34,27.6042
CUDA,96,88,34,26.6723
CUDA,97,88,34,26.3790
CUDA,98,88,34,27.9815
CUDA,99,88,34,26.6463
CUDA,100,88,34,26.5465
CUDA,101,88,34,27.5826
CUDA,102,88,34,26.7022
CUDA,103,88,34,26.6907
CUDA,104,88,34,26.9497
CUDA,105,88,34,26.6388
CUDA,106,88,34,26.8111
CUDA,107,88,34,26.9308
CUDA,108,88,34,26.6468
CUDA,109,88,34,27.6864
CUDA,110,88,34,26.7853
CUDA,111,88,34,26.4796
CUDA,112,88,34,26.7074
CUDA,113,88,34,27.6616
CUDA,114,88,34,26.7539
CUDA,115,88,34,27.1335
CUDA,116,88,34,26.4837
CUDA,117,88,34,27.0458
CUDA,118,88,34,26.5501
CUDA,119,88,34,27.1231
CUDA,120,88,34,27.4051
CUDA,121,88,34,27.0640
CUDA,122,88,34,26.5870
CUDA,123,88,34,26.6807
CUDA,124,88,34,26.9346
CUDA,125,88,34,26.3707
CUDA,126,88,34,26.4662
CUDA,127,88,34,26.5908
CUDA,128,88,34,27.4207
CUDA,129,88,34,26.7654
CUDA,130,88,34,26.5812
CUDA,131,88,34,26.9374
CUDA,132,88,34,26.5713
CUDA,133,88,34,27.0575
CUDA,134,88,34,26.6414
CUDA,135,88,34,27.3323
CUDA,136,88,34,26.5748
CUDA,137,88,34,26.7629
CUDA,138,88,34,26.9856
CUDA,139,88,34,27.4129
CUDA,140,88,34,26.7650
CUDA,141,88,34,27.3148
CUDA,142,88,34,26.9796
CUDA,143,88,34,26.4284
CUDA,144,88,34,26.7891
CUDA,145,88,34,26.4830
CUDA,146,88,34,26.7427
CUDA,147,88,34,26.5443
CUDA,148,88,34,26.5446
CUDA,149,88,34,26.5728
CUDA,150,88,34,26.4521
CUDA,151,88,34,26.7442
CUDA,152,88,34,26.7756
CUDA,153,88,34,26.8296
CUDA,154,88,34,26.6155
CUDA,155,88,34,27.7020
CUDA,156,88,34,26.8471
CUDA,157,88,34,27.1865
CUDA,158,88,34,26.8874
CUDA,159,88,34,26.5669
CUDA,160,88,34,26.7425
CUDA,161,88,34,27.1257
CUDA,162,88,34,27.1697
CUDA,163,88,34,26.5059
CUDA,164,88,34,27.1275
CUDA,165,88,34,27.3739
CUDA,166,88,34,26.7871
CUDA,167,88,34,26.6194
CUDA,168,88,34,26.8819
CUDA,169,88,34,27.1633
CUDA,170,88,34,26.4061
CUDA,171,88,34,27.0780
CUDA,172,88,34,27.0391
CUDA,173,88,34,26.7993
CUDA,174,88,34,27.2700
CUDA,175,88,34,26.9997
CUDA,176,88,34,27.6357
CUDA,177,88,34,26.7785
CUDA,178,88,34,27.5019
CUDA,179,88,34,28.4079
CUDA,180,88,34,26.8759
CUDA,181,88,34,26.6121
CUDA,182,88,34,26.6789
CUDA,183,88,34,27.6322
CUDA,184,88,34,26.6620
CUDA,185,88,34,26.6725
CUDA,186,88,34,26.4648
CUDA,187,88,34,27.0207
CUDA,188,88,34,26.4651
CUDA,189,88,34,26.6770
CUDA,190,88,34,27.2256
CUDA,191,88,34,26.5651
CUDA,192,88,34,26.6878
CUDA,193,88,34,26.7493
CUDA,194,88,34,26.6748
CUDA,195,88,34,26.5061
CUDA,196,88,34,26.7806
CUDA,197,88,34,26.8708
CUDA,198,88,34,26.9623
CUDA,199,88,34,26.8343
CUDA,200,88,34,26.5075
