mode,frame,raw_detections,kept_detections,latency_ms
OpenMP,0,84,30,155.7864
OpenMP,1,84,30,153.6168
OpenMP,2,84,30,150.2365
OpenMP,3,84,30,152.0725
OpenMP,4,84,30,148.7985
OpenMP,5,84,30,163.0149
OpenMP,6,84,30,171.5251
OpenMP,7,84,30,166.3271
OpenMP,8,84,30,152.6156
OpenMP,9,84,30,157.3899
OpenMP,10,84,30,153.6656
OpenMP,11,84,30,160.3675
OpenMP,12,84,30,163.4314
OpenMP,13,84,30,158.1115
OpenMP,14,84,30,153.8371
OpenMP,15,84,30,156.1027
OpenMP,16,84,30,149.0164
OpenMP,17,84,30,152.5016
OpenMP,18,84,30,168.1805
OpenMP,19,84,30,158.4141
OpenMP,20,84,30,184.4149
OpenMP,21,84,30,164.6779
OpenMP,22,84,30,167.9621
OpenMP,23,84,30,156.6962
OpenMP,24,84,30,164.5762
OpenMP,25,84,30,158.1898
OpenMP,26,84,30,156.7950
OpenMP,27,84,30,153.4976
OpenMP,28,84,30,170.9769
OpenMP,29,84,30,164.0375
OpenMP,30,84,30,160.1910
OpenMP,31,84,30,153.2949
OpenMP,32,84,30,166.7933
OpenMP,33,84,30,158.8328
OpenMP,34,84,30,161.8722
OpenMP,35,84,30,156.2191
OpenMP,36,84,30,163.7590
OpenMP,37,84,30,151.9059
OpenMP,38,84,30,160.7588
OpenMP,39,84,30,156.1928
OpenMP,40,84,30,155.6210
OpenMP,41,84,30,157.0090
OpenMP,42,84,30,160.6417
OpenMP,43,84,30,153.6743
OpenMP,44,84,30,151.5272
OpenMP,45,84,30,157.2468
OpenMP,46,84,30,156.9420
OpenMP,47,84,30,162.8637
OpenMP,48,84,30,152.7801
OpenMP,49,84,30,166.9198
OpenMP,50,84,30,174.9361
OpenMP,51,84,30,172.3318
OpenMP,52,84,30,180.3620
OpenMP,53,84,30,165.7015
OpenMP,54,84,30,157.4147
OpenMP,55,84,30,169.5562
OpenMP,56,84,30,171.4702
OpenMP,57,84,30,171.3284
OpenMP,58,84,30,175.5829
OpenMP,59,84,30,163.2903
OpenMP,60,84,30,169.5199
OpenMP,61,84,30,176.3511
