mode,frame,raw_detections,kept_detections,latency_ms
OpenMP,0,84,30,143.5450
OpenMP,1,84,30,141.5671
OpenMP,2,84,30,132.7698
OpenMP,3,84,30,132.6728
OpenMP,4,84,30,134.4494
OpenMP,5,84,30,137.1687
OpenMP,6,84,30,139.9285
OpenMP,7,84,30,137.4841
OpenMP,8,84,30,136.2904
OpenMP,9,84,30,137.7300
OpenMP,10,84,30,135.5552
OpenMP,11,84,30,140.4991
OpenMP,12,84,30,144.0364
OpenMP,13,84,30,141.1670
OpenMP,14,84,30,138.6039
OpenMP,15,84,30,151.7477
OpenMP,16,84,30,139.8052
OpenMP,17,84,30,132.5118
OpenMP,18,84,30,136.1901
OpenMP,19,84,30,139.0653
OpenMP,20,84,30,130.9577
OpenMP,21,84,30,135.1087
OpenMP,22,84,30,146.5346
OpenMP,23,84,30,138.9736
OpenMP,24,84,30,140.2211
OpenMP,25,84,30,136.4252
OpenMP,26,84,30,133.2850
OpenMP,27,84,30,137.4939
OpenMP,28,84,30,135.9933
OpenMP,29,84,30,137.7736
OpenMP,30,84,30,132.4275
OpenMP,31,84,30,139.7696
OpenMP,32,84,30,135.7617
OpenMP,33,84,30,131.3725
OpenMP,34,84,30,139.8549
OpenMP,35,84,30,133.2752
OpenMP,36,84,30,131.3065
OpenMP,37,84,30,137.2068
OpenMP,38,84,30,134.5853
OpenMP,39,84,30,139.3303
OpenMP,40,84,30,139.8774
OpenMP,41,84,30,135.1220
OpenMP,42,84,30,159.4014
OpenMP,43,84,30,150.5863
OpenMP,44,84,30,141.4820
OpenMP,45,84,30,136.7786
OpenMP,46,84,30,133.6856
OpenMP,47,84,30,136.4814
OpenMP,48,84,30,133.0640
OpenMP,49,84,30,133.5923
OpenMP,50,84,30,130.1316
OpenMP,51,84,30,139.5345
OpenMP,52,84,30,136.0142
OpenMP,53,84,30,143.8174
OpenMP,54,84,30,135.7262
OpenMP,55,84,30,137.9388
OpenMP,56,84,30,133.3512
OpenMP,57,84,30,138.4533
OpenMP,58,84,30,143.9523
OpenMP,59,84,30,135.3019
OpenMP,60,84,30,136.5355
OpenMP,61,84,30,135.0605
OpenMP,62,84,30,138.8775
OpenMP,63,84,30,148.9777
OpenMP,64,84,30,137.5737
OpenMP,65,84,30,134.9723
OpenMP,66,84,30,137.2117
OpenMP,67,84,30,144.6102
OpenMP,68,84,30,147.8756
OpenMP,69,84,30,138.0770
OpenMP,70,84,30,139.8869
OpenMP,71,84,30,135.5278
OpenMP,72,84,30,133.1256
OpenMP,73,84,30,141.8685
OpenMP,74,84,30,138.1465
OpenMP,75,84,30,135.4663
OpenMP,76,84,30,135.6262
OpenMP,77,84,30,140.4148
OpenMP,78,84,30,132.2718
OpenMP,79,84,30,135.9486
OpenMP,80,84,30,140.0245
OpenMP,81,84,30,134.1551
OpenMP,82,84,30,141.5430
OpenMP,83,84,30,146.3132
OpenMP,84,84,30,144.3489
OpenMP,85,84,30,135.1478
OpenMP,86,84,30,141.9578
OpenMP,87,84,30,139.2431
OpenMP,88,84,30,137.4356
OpenMP,89,84,30,136.3202
OpenMP,90,84,30,135.9165
OpenMP,91,84,30,136.5916
OpenMP,92,84,30,136.6121
OpenMP,93,84,30,130.3190
OpenMP,94,84,30,138.7604
OpenMP,95,84,30,136.8098
OpenMP,96,84,30,138.1038
OpenMP,97,84,30,140.2573
OpenMP,98,84,30,141.0279
OpenMP,99,84,30,138.0711
OpenMP,100,84,30,136.4587
OpenMP,101,84,30,139.0077
OpenMP,102,84,30,141.7858
OpenMP,103,84,30,139.9767
OpenMP,104,84,30,144.8977
OpenMP,105,84,30,147.3080
OpenMP,106,84,30,139.6901
OpenMP,107,84,30,137.9741
OpenMP,108,84,30,139.4673
OpenMP,109,84,30,133.5655
OpenMP,110,84,30,135.7140
OpenMP,111,84,30,133.8354
OpenMP,112,84,30,135.3329
OpenMP,113,84,30,138.1677
OpenMP,114,84,30,156.3827
OpenMP,115,84,30,147.2371
OpenMP,116,84,30,146.3765
OpenMP,117,84,30,139.2597
OpenMP,118,84,30,138.7268
OpenMP,119,84,30,139.9452
OpenMP,120,84,30,132.9567
OpenMP,121,84,30,132.0176
OpenMP,122,84,30,133.2388
OpenMP,123,84,30,134.0456
OpenMP,124,84,30,138.7259
OpenMP,125,84,30,141.0008
OpenMP,126,84,30,135.1531
OpenMP,127,84,30,135.4980
OpenMP,128,84,30,130.2074
OpenMP,129,84,30,138.4182
OpenMP,130,84,30,140.3447
OpenMP,131,84,30,134.4369
OpenMP,132,84,30,136.0038
OpenMP,133,84,30,133.2006
OpenMP,134,84,30,137.6565
OpenMP,135,84,30,131.8815
OpenMP,136,84,30,132.1379
OpenMP,137,84,30,131.4537
OpenMP,138,84,30,139.1742
OpenMP,139,84,30,134.4656
OpenMP,140,84,30,137.0957
OpenMP,141,84,30,131.1887
OpenMP,142,84,30,132.5168
