mode,frame,raw_detections,kept_detections,latency_ms
sequential,0,84,30,1141.5837
sequential,1,84,30,1145.4898
sequential,2,84,30,1123.4501
sequential,3,84,30,1137.1412
sequential,4,84,30,1126.1953
sequential,5,84,30,1136.7226
sequential,6,84,30,1141.1945
sequential,7,84,30,1136.4868
sequential,8,84,30,1146.3762
sequential,9,84,30,1160.5940
sequential,10,84,30,1128.2413
sequential,11,84,30,1147.0559
sequential,12,84,30,1124.2025
sequential,13,84,30,1135.7140
sequential,14,84,30,1143.6983
sequential,15,84,30,1131.8174
sequential,16,84,30,1136.9843
sequential,17,84,30,1181.3486
sequential,18,84,30,1156.5839
sequential,19,84,30,1119.2553
sequential,20,84,30,1134.1847
sequential,21,84,30,1117.5799
sequential,22,84,30,1146.4188
sequential,23,84,30,1147.0210
sequential,24,84,30,1159.4056
sequential,25,84,30,1128.5105
sequential,26,84,30,1156.9140
sequential,27,84,30,1138.6140
sequential,28,84,30,1148.5206
sequential,29,84,30,1170.0529
sequential,30,84,30,1140.0883
sequential,31,84,30,1124.2380
sequential,32,84,30,1122.6862
sequential,33,84,30,1128.9679
sequential,34,84,30,1139.1345
sequential,35,84,30,1153.1979
sequential,36,84,30,1152.6553
sequential,37,84,30,1159.4518
sequential,38,84,30,1130.4812
sequential,39,84,30,1139.6409
sequential,40,84,30,1139.3126
sequential,41,84,30,1133.6512
sequential,42,84,30,1129.7720
sequential,43,84,30,1149.6469
sequential,44,84,30,1295.4849
sequential,45,84,30,1229.6161
sequential,46,84,30,1253.7481
sequential,47,84,30,1152.9433
sequential,48,84,30,1155.1746
sequential,49,84,30,1182.1408
sequential,50,84,30,1140.1023
sequential,51,84,30,1144.5120
sequential,52,84,30,1143.3098
sequential,53,84,30,1126.8964
sequential,54,84,30,1152.4843
sequential,55,84,30,1137.3136
sequential,56,84,30,1136.4556
sequential,57,84,30,1125.1802
sequential,58,84,30,1141.8744
sequential,59,84,30,1132.8164
sequential,60,84,30,1151.1456
sequential,61,84,30,1149.9232
sequential,62,84,30,1142.8799
sequential,63,84,30,1134.3517
sequential,64,84,30,1167.8096
sequential,65,84,30,1150.1730
sequential,66,84,30,1146.0259
sequential,67,84,30,1142.0256
sequential,68,84,30,1135.7976
sequential,69,84,30,1140.4543
sequential,70,84,30,1138.5657
sequential,71,84,30,1134.7207
sequential,72,84,30,1144.3307
sequential,73,84,30,1135.1355
sequential,74,84,30,1132.3336
sequential,75,84,30,1115.6948
sequential,76,84,30,1141.3501
sequential,77,84,30,1137.4373
sequential,78,84,30,1127.2725
sequential,79,84,30,1114.1984
sequential,80,84,30,1140.1042
sequential,81,84,30,1145.0264
sequential,82,84,30,1138.4635
sequential,83,84,30,1970.5125
sequential,84,84,30,2287.0719
sequential,85,84,30,1684.6668
sequential,86,84,30,1326.9198
sequential,87,84,30,1320.6460
sequential,88,84,30,1236.2325
sequential,89,84,30,1191.7267
sequential,90,84,30,1255.0427
sequential,91,84,30,1265.3288
sequential,92,84,30,1207.3705
sequential,93,84,30,1214.0205
sequential,94,84,30,1194.5221
sequential,95,84,30,1137.5429
sequential,96,84,30,1157.1148
sequential,97,84,30,1132.0104
sequential,98,84,30,1126.0601
sequential,99,84,30,1146.2935
sequential,100,84,30,1177.9840
sequential,101,84,30,1149.2043
sequential,102,84,30,1198.9902
sequential,103,84,30,1156.0057
sequential,104,84,30,1154.0662
sequential,105,84,30,1165.0978
sequential,106,84,30,1138.7261
sequential,107,84,30,1139.1486
sequential,108,84,30,1147.6697
sequential,109,84,30,1165.6860
sequential,110,84,30,1152.6464
sequential,111,84,30,1155.4794
sequential,112,84,30,1164.7914
sequential,113,84,30,1162.7194
sequential,114,84,30,1150.5310
sequential,115,84,30,1138.2407
sequential,116,84,30,1155.7851
sequential,117,84,30,1158.4434
sequential,118,84,30,1135.0847
sequential,119,84,30,1134.9413
sequential,120,84,30,1146.4623
sequential,121,84,30,1176.2892
sequential,122,84,30,1173.9868
sequential,123,84,30,1149.7316
sequential,124,84,30,1140.4799
sequential,125,84,30,1139.1408
sequential,126,84,30,1126.0307
sequential,127,84,30,1128.9387
sequential,128,84,30,1174.6882
sequential,129,84,30,1183.0975
sequential,130,84,30,1150.8010
sequential,131,84,30,1149.9133
sequential,132,84,30,1145.1013
sequential,133,84,30,1129.4891
sequential,134,84,30,1143.2470
sequential,135,84,30,1147.5956
sequential,136,84,30,1141.9541
sequential,137,84,30,1141.9708
sequential,138,84,30,1135.5758
sequential,139,84,30,1141.9481
sequential,140,84,30,1142.6579
sequential,141,84,30,1120.1142
sequential,142,84,30,1119.9362
sequential,143,84,30,1119.5345
sequential,144,84,30,1138.0550
sequential,145,84,30,1132.3721
sequential,146,84,30,1147.8510
sequential,147,84,30,1148.3017
sequential,148,84,30,1138.7042
sequential,149,84,30,1129.4256
sequential,150,84,30,1172.5884
sequential,151,84,30,1187.5198
sequential,152,84,30,1140.4666
sequential,153,84,30,1146.8653
sequential,154,84,30,1152.9616
sequential,155,84,30,1169.8734
sequential,156,84,30,1153.0954
sequential,157,84,30,1136.1834
sequential,158,84,30,1134.4257
sequential,159,84,30,1134.1178
sequential,160,84,30,1125.9594
sequential,161,84,30,1128.5111
sequential,162,84,30,1141.4944
sequential,163,84,30,1141.9889
sequential,164,84,30,1147.1440
sequential,165,84,30,1146.8660
sequential,166,84,30,1142.0692
sequential,167,84,30,1126.2360
sequential,168,84,30,1136.1086
sequential,169,84,30,1118.9210
sequential,170,84,30,1168.1266
sequential,171,84,30,1137.6949
sequential,172,84,30,1144.3230
sequential,173,84,30,1141.9311
sequential,174,84,30,1124.3982
sequential,175,84,30,1301.4899
sequential,176,84,30,1566.1693
sequential,177,84,30,1302.7154
sequential,178,84,30,1136.7209
sequential,179,84,30,1136.0271
sequential,180,84,30,1142.0526
sequential,181,84,30,1116.9043
sequential,182,84,30,1123.6633
sequential,183,84,30,1131.4744
sequential,184,84,30,1131.6707
sequential,185,84,30,1125.2703
sequential,186,84,30,1113.4824
sequential,187,84,30,1124.9174
sequential,188,84,30,1134.8782
sequential,189,84,30,1134.9029
sequential,190,84,30,1128.1366
sequential,191,84,30,1126.1420
sequential,192,84,30,1148.1654
sequential,193,84,30,1151.9147
sequential,194,84,30,1117.6560
sequential,195,84,30,1141.1203
sequential,196,84,30,1124.1525
sequential,197,84,30,1141.9738
sequential,198,84,30,1137.1469
sequential,199,84,30,1127.1079
sequential,200,84,30,1139.9131
sequential,201,84,30,1136.8994
sequential,202,84,30,1142.6830
sequential,203,84,30,1140.9757
sequential,204,84,30,1131.7020
sequential,205,84,30,1140.8007
sequential,206,84,30,1138.0822
sequential,207,84,30,1143.3958
sequential,208,84,30,1169.3343
sequential,209,84,30,1215.3011
sequential,210,84,30,1199.4031
sequential,211,84,30,1133.9640
sequential,212,84,30,1158.5966
sequential,213,84,30,1174.3448
sequential,214,84,30,1193.4400
sequential,215,84,30,1184.4853
sequential,216,84,30,1166.4956
sequential,217,84,30,1158.3612
sequential,218,84,30,1142.7473
sequential,219,84,30,1165.6191
sequential,220,84,30,1181.7772
sequential,221,84,30,1139.4606
sequential,222,84,30,1162.1299
sequential,223,84,30,1138.1917
sequential,224,84,30,1122.6295
sequential,225,84,30,1146.7476
sequential,226,84,30,1144.2947
sequential,227,84,30,1135.2187
sequential,228,84,30,1132.5023
sequential,229,84,30,1117.9662
sequential,230,84,30,1149.0554
sequential,231,84,30,1160.4525
sequential,232,84,30,1146.1248
sequential,233,84,30,1137.1947
sequential,234,84,30,1132.2074
sequential,235,84,30,1133.8392
sequential,236,84,30,1139.2449
sequential,237,84,30,1123.9008
sequential,238,84,30,1137.2284
sequential,239,84,30,1166.7402
sequential,240,84,30,1174.2755
sequential,241,84,30,1125.6554
sequential,242,84,30,1185.9908
sequential,243,84,30,1142.3758
sequential,244,84,30,1171.2343
sequential,245,84,30,1143.7877
sequential,246,84,30,1134.9589
sequential,247,84,30,1133.7154
sequential,248,84,30,1161.6421
sequential,249,84,30,1158.5840
sequential,250,84,30,1138.3261
sequential,251,84,30,1149.8671
sequential,252,84,30,1133.1617
sequential,253,84,30,1135.3690
sequential,254,84,30,1144.7016
sequential,255,84,30,1159.0814
sequential,256,84,30,1172.2935
sequential,257,84,30,1167.0165
sequential,258,84,30,1139.1535
sequential,259,84,30,1138.1921
sequential,260,84,30,1147.8725
sequential,261,84,30,1182.4524
sequential,262,84,30,1165.5668
sequential,263,84,30,1156.3552
sequential,264,84,30,1145.5881
sequential,265,84,30,1168.9434
sequential,266,84,30,1172.7729
sequential,267,84,30,1183.2982
sequential,268,84,30,1142.9394
sequential,269,84,30,1149.6229
sequential,270,84,30,1119.9262
sequential,271,84,30,1118.0589
sequential,272,84,30,1139.3113
sequential,273,84,30,1121.3037
sequential,274,84,30,1142.2556
sequential,275,84,30,1139.6573
sequential,276,84,30,1150.6529
sequential,277,84,30,1144.6718
sequential,278,84,30,1129.3972
sequential,279,84,30,1143.6301
sequential,280,84,30,1126.7282
sequential,281,84,30,1134.0277
sequential,282,84,30,1143.2563
sequential,283,84,30,1152.5026
sequential,284,84,30,1144.8715
sequential,285,84,30,1137.1711
sequential,286,84,30,1142.6677
sequential,287,84,30,1162.0350
sequential,288,84,30,1225.9100
sequential,289,84,30,1173.0159
sequential,290,84,30,1202.7881
sequential,291,84,30,1171.3780
sequential,292,84,30,1251.5539
sequential,293,84,30,1163.3943
sequential,294,84,30,1188.8546
sequential,295,84,30,1161.4266
sequential,296,84,30,1145.6232
sequential,297,84,30,1151.3493
sequential,298,84,30,1161.5793
sequential,299,84,30,1151.8814

summary_metric,value
mode,sequential
frames,300
avg_latency_ms,1160.8604
p50_latency_ms,1142.8799
p99_latency_ms,1684.6668
fps,0.8614
