mode,frame,raw_detections,kept_detections,latency_ms
sequential,0,84,30,2634.7855
sequential,1,84,30,2039.2675
sequential,2,84,30,1681.8576
sequential,3,84,30,1697.9272
sequential,4,84,30,4652.6314
sequential,5,84,30,1754.4722
sequential,6,84,30,1833.0365
sequential,7,84,30,2252.8116
sequential,8,84,30,2667.4013
sequential,9,84,30,2296.2526
sequential,10,84,30,2120.9238
sequential,11,84,30,2516.0687
sequential,12,84,30,2171.1057
sequential,13,84,30,1761.1383
sequential,14,84,30,2417.1384
sequential,15,84,30,2395.2262
sequential,16,84,30,2940.3748
sequential,17,84,30,2568.2072
sequential,18,84,30,2324.8600
sequential,19,84,30,5246.7472
sequential,20,84,30,2338.3551
sequential,21,84,30,1766.9800
sequential,22,84,30,1088.0773
sequential,23,84,30,1074.8074
sequential,24,84,30,1066.4294
sequential,25,84,30,1076.7078
sequential,26,84,30,1059.8557
sequential,27,84,30,1074.0993
sequential,28,84,30,1064.5988
sequential,29,84,30,1134.8559
sequential,30,84,30,1053.3737
sequential,31,84,30,1059.6243
sequential,32,84,30,1047.9770
sequential,33,84,30,1068.0636
sequential,34,84,30,1091.2417
sequential,35,84,30,1067.2199
sequential,36,84,30,1068.6614
sequential,37,84,30,1046.2520
sequential,38,84,30,1069.8601
sequential,39,84,30,1051.7996
sequential,40,84,30,1067.5604
sequential,41,84,30,1062.6011
sequential,42,84,30,1122.5117
sequential,43,84,30,1053.0703
sequential,44,84,30,1037.5619
sequential,45,84,30,1050.9809
sequential,46,84,30,3978.5974
sequential,47,84,30,1049.2544
sequential,48,84,30,1062.9111
sequential,49,84,30,1059.2477
sequential,50,84,30,1038.7604
sequential,51,84,30,1072.7456
sequential,52,84,30,1048.8930
sequential,53,84,30,1063.5603
sequential,54,84,30,1105.7673
sequential,55,84,30,1071.2766
sequential,56,84,30,1055.9501
sequential,57,84,30,1030.4896
sequential,58,84,30,1051.9067
sequential,59,84,30,1064.7575
sequential,60,84,30,1038.9544
sequential,61,84,30,1046.5524
sequential,62,84,30,1061.4124
sequential,63,84,30,1044.8691
sequential,64,84,30,1053.5099
sequential,65,84,30,1039.7657
sequential,66,84,30,1042.7247
sequential,67,84,30,1045.7230
sequential,68,84,30,1052.1566
sequential,69,84,30,1044.8025
sequential,70,84,30,1047.3927
sequential,71,84,30,1053.6744
sequential,72,84,30,1044.2897
sequential,73,84,30,1038.0103
sequential,74,84,30,1047.2452
sequential,75,84,30,1046.0780
sequential,76,84,30,3984.8571
sequential,77,84,30,1032.9017
sequential,78,84,30,1049.4549
sequential,79,84,30,1049.1469
sequential,80,84,30,1053.6929
sequential,81,84,30,1046.6143
sequential,82,84,30,1060.6225
sequential,83,84,30,1048.8377
sequential,84,84,30,1043.3176
sequential,85,84,30,1052.7707
sequential,86,84,30,1039.3588
sequential,87,84,30,1060.8390
sequential,88,84,30,1073.4938
sequential,89,84,30,1040.1659
sequential,90,84,30,1122.2661
sequential,91,84,30,1107.9990
sequential,92,84,30,1082.0251
sequential,93,84,30,1063.7748
sequential,94,84,30,1097.2612
sequential,95,84,30,1064.5750
sequential,96,84,30,1203.0422
sequential,97,84,30,1077.5165
sequential,98,84,30,1273.8434
sequential,99,84,30,1491.2267
sequential,100,84,30,1478.5364
sequential,101,84,30,1220.0146
sequential,102,84,30,1095.8798
sequential,103,84,30,1058.6158
sequential,104,84,30,1067.1503
sequential,105,84,30,4026.4750
sequential,106,84,30,1074.5540
sequential,107,84,30,1264.6729
sequential,108,84,30,1155.0505
sequential,109,84,30,1145.7069
sequential,110,84,30,1078.0092
sequential,111,84,30,1090.4070
sequential,112,84,30,1107.7064
sequential,113,84,30,1087.6222
sequential,114,84,30,1076.0470
sequential,115,84,30,1065.4076
sequential,116,84,30,1034.2081
sequential,117,84,30,1084.4640
sequential,118,84,30,1072.7736
sequential,119,84,30,1073.6489
sequential,120,84,30,1059.2748
sequential,121,84,30,1082.2008
sequential,122,84,30,1062.6418
sequential,123,84,30,1072.4726
sequential,124,84,30,1050.9347
sequential,125,84,30,1068.9597
sequential,126,84,30,1059.9293
sequential,127,84,30,1066.9064
sequential,128,84,30,1046.6427
sequential,129,84,30,1052.8414
sequential,130,84,30,1065.3259
sequential,131,84,30,1053.6917
sequential,132,84,30,1067.1158
sequential,133,84,30,1059.5550
sequential,134,84,30,1072.5822
sequential,135,84,30,4028.3404
sequential,136,84,30,1051.9220
sequential,137,84,30,1073.2601
sequential,138,84,30,1055.0490
sequential,139,84,30,1068.3708
sequential,140,84,30,1072.8770
sequential,141,84,30,1062.0768
sequential,142,84,30,1066.0654
sequential,143,84,30,1076.4370
sequential,144,84,30,1061.1575
sequential,145,84,30,1049.7560
sequential,146,84,30,1067.1218
sequential,147,84,30,1068.1326
sequential,148,84,30,1075.1718
sequential,149,84,30,1105.7784
sequential,150,84,30,1105.9960
sequential,151,84,30,1078.8558
sequential,152,84,30,1116.8841
sequential,153,84,30,1057.9514
sequential,154,84,30,1181.6729
sequential,155,84,30,1115.4762
sequential,156,84,30,1087.9603
sequential,157,84,30,1060.3262
sequential,158,84,30,1085.6091
sequential,159,84,30,1221.7223
sequential,160,84,30,1080.8251
sequential,161,84,30,1066.9766
sequential,162,84,30,1090.3691
sequential,163,84,30,1186.7703
sequential,164,84,30,4245.4455
